,sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
451,LITH03626751-HWD03-122.80,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,149.0,199.0,13300.0,,,2133.46,,,,,,4399.0,,,,122.0,,,,,,,,,,,0.0,47.38,0.35,7.92,0.08,0.69,0.1,0.64,6.96,5.77,0.15,30.48
452,LITH03626751-BSD079-390.32,Dacite,Rock,-30.37,121.63,381,-390.0,-390.0,Unknown,Black Swan,"Northern flank, lower felsics",,,,224.69,,,117.0,25.36,5200.0,,,,,145.32,22.35,,,209.0,,708.74,391.26,23.16,,,,,,,,,,,0.61,59.6,0.06,5.0,0.91,0.58,1.9,0.03,4.74,15.97,3.77,6.7
454,LITH03626751-HWD03-104.35,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,179.0,267.0,13600.0,,,2194.97,,,,,,3548.0,,,,128.0,,,,,,,,,,,0.0,48.38,0.34,6.52,0.1,0.65,0.07,0.51,6.79,5.87,0.15,31.13
456,LITH03626751-BSD069-261.75,Dacite,Rock,-30.39,121.63,376,-262.0,-262.0,Unknown,Black Swan,"Black Swan Orebody, lower felsics",0.97,0.77,2.0,144.88,0.31,2.16,57.0,25.95,,0.36,20.0,,0.92,61.63,12.97,2.54,38.92,36.0,15.13,382.76,591.45,12.97,0.14,4.32,0.14,,,,,3.56,,,0.13,69.84,0.05,4.63,0.58,0.26,1.82,0.005215008,2.13,17.4,2.07,1.01
457,LITH03626751-LNN009906,Rhyolite,Rock,-28.58,121.17,426,-137.2,-137.2,Unknown,Sullivans Prospect,"Sullivans Ultramafic Unit, S Central Cumulate Zone, ST BARBARA LTD",,,,,,,,88.24,9900.0,,,0.0,,,,,,14.0,,,0.0,,,,,,,,,,,,0.12,82.48,0.09,0.25,0.02,1.77,0.05,0.002066277,14.4,0.72,0.04,0.54
459,LITH03626751-BD02-189.1,Dacite,Rock,-32.5,119.68,393,0.0,0.0,Unknown,Boojum,"Western, U1",,,,140.0,,,42.0,,100.0,,,,,82.0,12.0,,,68.0,,355.0,506.0,51.0,,,,,,,,,,,0.0,65.96,0.07,4.59,0.51,0.33,1.2,0.009982475,2.74,16.78,4.46,3.31
461,LITH03626751-HWD38-127.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,273.0,6800.0,,,3468.48,,,,,,1800.0,,,,,,,,,,,,,,,0.0,45.51,0.08,2.12,0.01,0.17,0.01,0.26,6.19,0.23,0.48,44.24
463,LITH03626751-HWD38-316.30,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,46.0,9.0,1700.0,,,2473.49,,,,,,2072.0,,,,,,,,,,,,,,,0.0,46.06,0.21,7.76,0.17,0.54,0.01,0.3,7.28,3.36,0.01,34.06
465,LITH03626751-BSD098F-432.8,Dolerite,Rock,-30.39,121.63,376,-433.0,-433.0,Unknown,Black Swan,Mafic intrusives-Gosling area,,,,29.82,,,78.0,11.67,1800.0,,,,,211.96,15.97,,,130.0,,159.08,,42.54,,,,,,,,,,,0.04,52.1,0.19,10.32,0.52,1.1,0.05,0.01,8.94,15.12,3.0,8.56
470,LITH03626751-BSD068-273.0,Dacite,Rock,-30.39,121.63,376,-273.0,-273.0,Unknown,Black Swan,"Black Swan Orebody, BSP oc",,,,233.56,,,168.0,36.0,100.0,,,,,114.66,18.05,,,68.0,,142.26,446.0,18.0,,,,,,,,,2.0,,0.14,65.19,0.24,1.07,0.53,1.16,1.18,0.01,9.38,16.15,0.77,4.18
474,LITH03626751-HWD32-188.80,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,18.0,0.0,1300.0,,,4009.9,,,,,,1920.0,,,,60.0,,,,,,,,,,,0.0,45.28,0.02,0.01,0.01,0.003280156,0.02,0.28,3.74,0.48,0.08,49.6
476,LITH03626751-SXB04777,Basalt,Rock,-31.4,119.46,432,-95.0,-95.0,Unknown,May Queen,Target 39,0.65,0.49,1.08,48.38,0.16,1.08,78.81,17.67,,0.23,4.25,729.33,0.65,85.44,,0.92,7.73,5698.0,3.86,,,237.48,0.08,0.95,0.08,0.00544,0.0,,0.00544,3.59,9.26,0.0,0.006539642,57.53,0.14,1.19,0.47,2.04,0.06,0.83,16.59,5.44,0.28,15.04
477,LITH03626751-MKD66-150,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,80.02,375.31,500.0,,,354.85,,,,,,390.0,,,0.0,,,,,,,,,,,,0.0,48.35,0.18,10.9,0.6,1.3,1.2,0.05,10.55,14.89,1.34,10.59
478,LITH03626751-KJS318-3,Basalt,Rock,-29.29,120.56,442,0.0,0.0,Unknown,Kurrajong,"Kurrajong, Walter Williams",1.63,0.82,2.75,61.22,0.4,2.24,,30.72,,0.59,3.26,503.5,1.58,217.14,,1.68,6.73,1180.0,4.69,,,71.0,0.24,1.0,,0.0051,,,0.00102,1.12,4.08,,0.05,52.81,0.18,8.93,0.67,1.28,0.06,0.17,10.41,11.32,1.57,12.44
480,LITH03626751-MKD25-1746.0,Rhyolite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,MK Unit,,,,0.0,,,20.0,10.0,50.22701,,,,,0.0,0.0,,,10.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,98.45,0.01,0.06,0.01,0.01,0.18,0.001461925,0.09,0.35,0.01,0.8
481,LITH03626751-AMP-HM-120522-006E,Basalt,Rock,-22.922684,117.367615,440,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",1.2,0.56,1.81,39.48,0.27,1.77,95.88,11.65,79.23279,0.46,3.94,0.0,1.13,99.26,10.03,1.35,9.24,5163.0,5.41,7.89,39.14,138.43,0.16,1.2,0.19,,1.24,13.53,,0.76,1.91,0.33,0.07,45.78,0.16,2.01,0.4,0.87,0.06,0.75,11.47,5.01,0.06,33.76
486,LITH03626751-r082-32.60-32.80,Andesite,Rock,0.067662105,22.542393,474,-33.0,-33.0,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,175.98,,,130.7,112.29,200.0,,,,,301.53,26.75,,,83.0,,133.78,45.28,42.23,,,,,,,,,,,0.25,52.42,0.23,8.13,2.21,1.48,0.21,0.01,11.99,12.96,4.66,5.4
487,LITH03626751-HWD32-144.50,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,25.0,0.0,500.0,,,4257.39,,,,,,1370.0,,,,31.0,,,,,,,,,,,0.0,42.1,0.06,0.04,0.01,0.0,0.05,0.2,4.55,0.37,0.14,52.01
490,LITH03626751-HWD26A-210.30,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,36.0,0.0,600.0,,,4085.81,,,,,,1580.0,,,,138.0,,,,,,,,,,,0.0,42.6,0.07,0.04,0.02,0.0,0.06,0.23,5.85,0.3,0.07,50.34
492,LITH03626751-HWD03-105.70,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,377.0,37.0,1100.0,,,2149.95,,,,,,2968.0,,,,111.0,,,,,,,,,,,0.0,50.7,0.19,2.73,0.13,0.69,0.46,0.43,7.5,6.27,0.08,30.66
493,LITH03626751-MKD66-131.4,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,85.04,155.12,400.0,,,,,,,,,320.0,,,0.0,,,,,,,,,,,,0.0,49.05,0.17,10.97,0.62,1.18,1.13,0.04,9.58,16.76,1.67,8.79
494,LITH03626751-21616/1,Dacite,Rock,-27.24,120.53,556,0.0,0.0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,50.01,20.0,200.0,,,,,,,,,85.0,,,0.0,,,,,,,,,,,,0.0,69.54,0.03,1.29,0.26,0.28,0.09,0.01,2.27,15.77,9.06,1.36
499,LITH03626751-WAM024-249.2,Basalt,Rock,-27.83,120.72,506,0.0,0.0,Unknown,Perseverance,PU South,1.35,1.56,,28.14,0.27,1.66,80.25,2.09,100.0,0.41,1.56,980.35,1.25,206.37,11.46,1.25,4.37,1641.0,3.33,38.56,7.29,73.25,0.16,0.64,0.2,0.0087,,,0.02503,,,,0.0,45.75,0.26,10.83,0.6,1.41,0.04,0.23,11.46,10.37,1.34,17.61
501,LITH03626751-ACD001-135.5,Dacite,Rock,-30.53,122.08,341,-136.0,-136.0,Unknown,Acra,,,,,129.55,,,112.0,57.85,4000.0,,,,,237.87,20.17,,,356.0,,173.1,168.85,28.4,,,,,,,,,,,0.25,64.69,0.1,0.91,0.99,0.9,0.84,0.05,7.32,20.43,1.43,2.03
503,LITH03626751-BSD027A-559.2B-test,Dacite,Rock,-30.39,121.63,376,-559.0,-559.0,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",,,,72.13,,,90.0,15.0,100.0,,,,,203.8,13.74,,,479.0,,235.86,238.0,6.0,,,,,,,,,,,0.08,51.27,0.19,1.01,0.7,3.05,0.42,0.07,24.72,14.37,1.61,2.58
