,sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
534,LITH03626751-AMP-HM-120523-012C,Basalt,Rock,-23.153152,117.777145,455,0.0,0.0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",3.08,1.64,5.44,188.09,0.88,6.05,108.95,168.64,100.0,1.13,34.22,0.0,2.63,142.87,26.82,6.6,69.48,49.0,33.61,254.7,714.77,49.07,0.39,8.2,0.43,,5.34,14.39,,8.59,12.02,1.13,0.15,57.29,0.18,7.51,1.22,1.25,1.26,0.007195047,10.15,13.45,3.02,4.48
536,LITH03626751-HWD03-094.40,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,84.0,45.0,1600.0,,,2338.2,,,,,,3670.0,,,,128.0,,,,,,,,,,,0.0,45.12,0.32,5.05,0.1,0.76,0.1,0.53,9.34,5.72,0.16,32.64
537,LITH03626751-HWD38-206.20,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,189.0,8700.0,,,4147.92,,,,,,1790.0,,,,,,,,,,,,,,,0.0,40.52,0.09,0.96,0.03,0.0,0.03,0.26,5.18,0.43,0.06,50.95
540,LITH03626751-BSD033-431.35,Dacite,Rock,-30.39,121.64,374,-431.0,-431.0,Unknown,Black Swan,"Silver Swan, lower felsics",,,,99.26,,,8.0,50.73,100.0,,,,,66.17,14.33,,,48.0,,355.14,453.3,9.92,,,,,,,,,13.0,,0.18,66.85,0.1,5.94,0.73,0.41,1.65,0.006943708,3.34,17.01,1.6,2.16
541,LITH03626751-BSD037E-573.25,Dacite,Rock,-30.39,121.64,374,-573.0,-573.0,Unknown,Black Swan,"Silver Swan, lower felsics",,,,298.18,,,27.0,25.46,200.0,,,,,55.75,20.6,,,198.0,,1149.1,801.22,21.82,,,,,,,,,,,0.78,55.2,0.08,13.75,0.88,0.53,1.07,0.02,4.3,15.2,1.97,6.16
542,LITH03626751-MKD66-164.5,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,79.8,15.01,52.73266,,,764.25,,,,,,1097.0,,,0.0,,,,,,,,,,,,0.0,48.36,0.18,8.25,0.51,1.34,1.31,0.16,10.89,12.4,1.28,15.24
544,LITH03626751-BSD079-272.45,Dacite,Rock,-30.39,121.63,376,-272.0,-272.0,Unknown,Black Swan,"Northern flank, Northern flank",,,,203.12,,,56.0,70.52,100.0,,,,,79.98,17.89,,,53.0,,547.28,182.07,11.57,,,,,,,,,,,0.32,59.66,0.07,3.91,0.79,0.45,1.11,0.007691082,3.7,17.76,9.13,3.04
545,LITH03626751-HWD03-166.30,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,30.0,30.0,400.0,,,3917.98,,,,,,2543.0,,,,89.0,,,,,,,,,,,0.0,42.93,0.05,0.05,0.01,0.03,0.02,0.37,7.14,0.24,0.01,48.7
546,LITH03626751-SUDD005-201.5,Dacite,Rock,-28.46,121.11,473,-201.5,-201.5,Unknown,Sullivans Prospect,"Sullivans Ultramafic Unit, ST BARBARA LTD",,,,112.58,,,34.79,,100.0,,,0.0,,61.41,,,,51.0,,,,10.23,,,,,,,,,,,0.15,69.39,0.05,0.67,0.42,0.34,0.47,0.007479571,2.77,16.06,6.45,3.17
547,LITH03626751-SXB04661,Andesite,Rock,-31.27,119.32,342,-480.0,-480.0,Unknown,Transvaal (Southern Cross),"Transvaal, Transvaal, ST BARBARA LTD",,,,157.37,,,,138.26,29800.0,,,,,288.36,,,,368.0,,,,,,,,,,,,,,,0.06,61.85,0.13,1.41,0.98,0.83,2.32,0.05,6.79,22.05,1.27,3.87
554,LITH03626751-BSD091B-505.70B,Dacite,Rock,-30.39,121.63,376,-506.0,-506.0,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",,,,165.66,,,69.0,56.27,3200.0,,,,,97.58,19.28,,,168.0,,196.29,291.61,21.38,,,,,,,,,,,0.24,64.9,0.17,7.05,0.62,0.46,1.64,0.02,3.73,15.39,1.27,4.42
556,LITH03626751-HWD24-250.70,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,36.0,0.0,400.0,,,4233.62,,,,,,1303.0,,,,139.0,,,,,,,,,,,0.0,41.72,0.08,0.0,0.01,0.0,0.06,0.19,5.41,0.24,0.06,51.78
557,LITH03626751-MKD23-425,Dacite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,MK Unit,,,,,,,50.13,10.02,51.18579,,,,,,,,,5.0,,,0.0,,,,,,,,,,,,0.0,63.77,0.07,3.36,1.06,0.19,1.08,0.000732744,1.57,16.72,8.96,3.17
558,LITH03626751-AMP-HM-120523-012A,Basalt,Rock,-23.153152,117.777145,455,0.0,0.0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",8.03,2.32,11.65,204.08,1.81,9.96,98.95,49.37,100.0,2.62,37.0,0.0,7.13,86.58,60.19,9.52,83.8,92.0,41.74,23.7,74.52,11.95,1.07,10.24,1.08,,6.8,11.33,,10.64,18.65,1.54,0.06,70.89,0.03,11.57,0.51,0.34,0.05,0.01,2.83,12.39,0.08,1.2
559,LITH03626751-BSD062-304.2,Dolerite,Rock,-30.39,121.63,376,-304.2,-304.2,Unknown,Black Swan,,,,,75.7,,,113.0,63.43,87.06352,,,,,235.8,16.13,,,777.0,,409.56,650.33,52.23,,,,,,,,,,,0.07,47.7,0.26,14.49,0.78,1.17,2.12,0.11,9.48,16.02,1.39,6.35
561,LITH03626751-HWD38-200.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,80.0,4600.0,,,3540.93,,,,,,1720.0,,,,,,,,,,,,,,,0.0,44.02,0.15,2.85,0.03,0.14,0.03,0.25,6.23,0.28,0.07,44.97
563,LITH03626751-HWD03-106.70,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,137.0,40.0,3300.0,,,2591.01,,,,,,3125.0,,,,130.0,,,,,,,,,,,0.0,45.51,0.26,4.24,0.08,0.61,0.02,0.45,8.73,4.64,0.09,35.29
565,LITH03626751-HWD38-316.80,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,54.0,7.0,700.0,,,2517.88,,,,,,2620.0,,,,,,,,,,,,,,,0.0,49.15,0.1,2.43,0.26,0.53,0.01,0.38,7.32,5.04,0.01,34.53
566,LITH03626751-BS23-10-4,Rhyolite,Rock,-30.39,121.63,376,0.0,0.0,Unknown,Black Swan,Silver Swan,,,,98.38,,,30.0,669.64,6100.0,,,,,67.7,14.8,,,37.0,,462.28,471.8,29.2,,,,,,,,,,,0.12,77.42,0.01,0.22,0.55,0.26,0.85,0.005411311,2.17,15.75,2.35,0.2
567,LITH03626751-HWD08-324.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,13.0,0.0,1800.0,,,4320.61,,,,,,1648.0,,,,,,,,,,,,,,,0.0,43.22,0.06,0.1,0.01,0.0,0.01,0.24,3.15,0.13,0.15,52.62
569,LITH03626751-MKD66-148.2,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,85.08,90.03,700.0,,,384.14,,,,,,350.0,,,0.0,,,,,,,,,,,,0.0,47.62,0.2,11.64,0.69,1.29,1.09,0.05,10.51,14.76,1.21,10.91
570,LITH03626751-HWD11-360.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,24.0,0.0,400.0,,,4202.78,,,,,,1509.0,,,,102.0,,,,,,,,,,,0.0,42.08,0.02,0.0,0.01,0.0,0.07,0.22,5.46,0.18,0.06,51.48
574,LITH03626751-HWD32-149.60,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,18.0,0.0,1600.0,,,4326.3,,,,,,1443.0,,,,121.0,,,,,,,,,,,0.0,41.53,0.04,0.01,0.01,0.0,0.01,0.21,4.82,0.24,0.07,52.68
576,LITH03626751-HWD38-256.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,1857.0,18700.0,,,4047.69,,,,,,1822.0,,,,,,,,,,,,,,,0.0,42.22,0.04,0.11,0.05,0.03,0.03,0.26,4.82,0.93,0.08,49.97
577,LITH03626751-BSD037-187.55,Dacite,Rock,-30.39,121.63,376,-188.0,-188.0,Unknown,Black Swan,"Silver Swan, upper felsics",,,,145.09,,,5.0,37.79,1100.0,,,,,86.62,15.15,,,42.0,,160.25,284.77,11.87,,,,,,,,,11.0,,0.23,65.33,0.02,6.18,0.66,0.46,2.94,0.006171918,3.74,15.86,2.62,1.9
578,LITH03626751-MKD66-163.9,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,84.83,20.02,52.18528,,,575.08,,,,,,978.0,,,0.0,,,,,,,,,,,,0.0,50.47,0.17,8.89,0.53,1.28,1.04,0.14,10.44,12.27,1.57,13.11
579,LITH03626751-MID04-248.0,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,MK Unit,,,,,,,111.15,130.69,2100.0,,,322.54,,,,,,404.0,,,0.0,,,,,,,,,,,,0.0,50.9,0.18,11.37,0.52,1.28,0.18,0.05,10.43,13.21,1.79,10.18
580,LITH03626751-MKD66-144,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,80.33,109.99,1800.0,,,334.47,,,,,,442.0,,,0.0,,,,,,,,,,,,0.0,48.6,0.17,11.47,0.6,1.15,1.55,0.06,9.31,15.61,1.2,10.34
581,LITH03626751-HWD38-149.30,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,75.0,7500.0,,,4003.04,,,,,,1795.0,,,,,,,,,,,,,,,0.0,41.95,0.08,1.49,0.04,0.01,0.04,0.26,4.93,0.48,0.2,49.53
582,LITH03626751-HWD38-334.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,448.0,18000.0,,,3511.02,,,,,,1407.0,,,,,,,,,,,,,,,0.0,41.17,0.11,4.2,0.03,0.23,0.03,0.2,7.5,0.64,0.04,44.67
583,LITH03626751-HWD32-162.30,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,18.0,0.0,1300.0,,,4198.99,,,,,,1581.0,,,,146.0,,,,,,,,,,,0.0,41.18,0.05,0.01,0.01,0.0,0.02,0.23,6.26,0.23,0.07,51.45
585,LITH03626751-MKD53-361,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"Constriction 1, Constriction 1, BHP BILLITON LTD",,,,,,,44.93,5.0,51.93484,,,348.24,,,,,,669.0,,,0.0,,,,,,,,,,,,0.0,50.28,0.18,13.37,0.69,0.78,0.2,0.09,6.33,15.75,1.67,10.57
586,LITH03626751-AMP-HM-120522-006J,Basalt,Rock,-22.923803,117.36811,436,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",3.32,1.37,5.03,111.93,0.78,4.57,89.13,56.35,51.88777,1.17,10.88,0.0,3.04,216.62,28.08,3.94,24.04,517.0,15.02,96.49,126.55,45.66,0.47,3.35,0.44,,3.21,30.05,,2.02,5.28,0.51,0.16,54.09,0.16,8.12,1.07,1.19,0.22,0.07,9.69,12.48,2.88,9.85
587,LITH03626751-HWD32-101.70,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,30.0,0.0,5700.0,,,3718.99,,,,,,1378.0,,,,310.0,,,,,,,,,,,0.0,45.88,0.04,0.05,0.01,0.08,0.08,0.2,5.64,0.24,0.15,46.74
588,LITH03626751-HWD08-296.30,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,4.0,0.0,3900.0,,,3882.97,,,,,,2141.0,,,,,,,,,,,,,,,0.0,44.38,0.06,0.25,0.04,0.04,0.01,0.31,5.32,0.84,0.05,48.35
589,LITH03626751-BSD045-290.10,Dacite,Rock,-30.38,121.64,376,-290.0,-290.0,Unknown,Black Swan,"North of SS, lower felsics",1.05,0.96,2.14,154.36,0.37,2.67,1.0,9.65,,0.37,19.29,,1.0,81.46,16.07,3.32,39.66,60.0,17.68,205.81,346.24,9.65,0.15,4.71,0.15,,,,,2.84,,,0.19,70.03,0.02,3.84,0.76,0.21,1.71,0.008773686,1.72,16.57,3.29,1.6
590,LITH03626751-BSD074-336.70B,Dacite,Rock,-30.38,121.64,376,-337.0,-337.0,Unknown,Black Swan,"North of SS, lower felsics",,,,156.52,,,23.0,22.99,,,,,,95.23,16.41,,,57.0,,210.16,1045.34,9.85,,,,,,,,,,,0.2,66.42,0.27,5.7,0.74,0.5,3.64,0.008319006,4.07,15.91,1.02,1.47
591,LITH03626751-HWD10-366.70,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,30.0,0.0,200.0,,,4148.38,,,,,,1781.0,,,,97.0,,,,,,,,,,,0.0,41.95,0.06,0.15,0.1,0.0,0.07,0.26,4.35,1.7,0.01,50.95
592,LITH03626751-BSD092-543.2,Dacite,Rock,-30.38,121.64,376,-543.0,-543.0,Unknown,Black Swan,"North of SS, LUM S oc",,,,37.97,,,105.0,15.28,,,,,,292.93,9.76,,,3353.0,,78.11,368.88,50.23,,,,,,,,,,,0.03,57.7,0.04,1.56,0.87,1.03,2.36,0.48,8.38,19.16,0.49,7.89
594,LITH03626751-HWD38-244.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,69.0,10700.0,,,3604.63,,,,,,1594.0,,,,,,,,,,,,,,,0.0,46.31,0.03,0.13,0.04,0.11,0.03,0.23,5.22,1.01,0.07,45.6
595,LITH03626751-HWD38-159.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,50.0,2100.0,,,4271.44,,,,,,1518.0,,,,,,,,,,,,,,,0.0,38.6,0.11,0.42,0.05,0.0,0.03,0.22,7.6,0.32,0.1,52.15
596,LITH03626751-CBD045-348.85,Andesite,Rock,-32.58,119.74,422,0.0,0.0,Unknown,Cosmic Boy,Eastern (N),2.49,1.19,4.26,85.0,0.66,4.32,92.0,108.0,1800.0,0.91,5.91,,2.69,335.0,24.0,3.32,13.2,139.0,10.2,121.0,264.0,47.0,0.41,2.12,0.38,,,33.0,,,,,0.0,55.04,0.38,9.33,1.3,1.0,1.58,0.02,8.16,16.38,2.52,4.32
598,LITH03626751-HWD03-120.50,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,92.0,107.0,6400.0,,,2649.17,,,,,,4472.0,,,,141.0,,,,,,,,,,,0.0,45.6,0.29,4.67,0.07,0.58,0.06,0.65,8.58,3.5,0.12,35.89
602,LITH03626751-8-303.53,Basalt,Rock,-32.14,119.79,407,0.0,0.0,Unknown,Mount Hope,,,,,20.0,,,79.0,1657.0,0.0,,,679.69,,248.0,10.0,,,902.0,,17.0,16.0,86.0,,,,,,,,,,,0.0,50.87,0.25,12.6,0.57,1.66,0.12,0.13,13.44,5.1,0.69,14.47
603,LITH03626751-HWD03-127.40,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,213.0,94.0,2400.0,,,3691.25,,,,,,2487.0,,,,141.0,,,,,,,,,,,0.0,43.83,0.06,0.02,0.02,0.11,0.02,0.36,7.22,1.61,0.02,46.46
604,LITH03626751-HWD26A-173.30,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,30.0,0.0,600.0,,,4301.7,,,,,,2196.0,,,,109.0,,,,,,,,,,,0.0,42.44,0.06,0.01,0.02,0.0,0.05,0.32,3.99,0.3,0.03,52.44
606,LITH03626751-21611/10,Basalt,Rock,-27.24,120.53,556,0.0,0.0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,109.92,60.2,51.30223,,,648.79,,,,,,1649.0,,,0.0,,,,,,,,,,,,0.0,46.49,0.2,11.16,0.57,1.35,0.12,0.24,11.0,11.17,3.66,13.93
607,LITH03626751-HWD38-131.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,76.0,6300.0,,,3490.08,,,,,,1658.0,,,,,,,,,,,,,,,0.0,45.49,0.08,1.46,0.01,0.17,0.04,0.24,6.54,0.22,0.45,44.46
608,LITH03626751-HWD38-325.40,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,220.0,14900.0,,,2813.43,,,,,,1618.0,,,,,,,,,,,,,,,0.0,41.56,0.19,6.91,0.03,0.69,0.01,0.23,11.04,0.58,0.05,37.59
609,LITH03626751-HWD03-119.40,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,76.0,137.0,7700.0,,,2623.87,,,,,,3503.0,,,,126.0,,,,,,,,,,,0.0,45.68,0.36,4.54,0.05,0.55,0.09,0.51,7.89,4.72,0.11,35.63
611,LITH03626751-BSD048-340.40,Dacite,Rock,-30.39,121.64,374,-340.0,-340.0,Unknown,Black Swan,"Silver Swan, lower felsics, BARMINCO INVESTMENTS PTY LTD",,,,121.08,,,103.0,34.73,400.0,,,,,118.83,12.33,,,37.0,,193.95,391.27,15.68,,,,,,,,,,,0.15,66.25,0.1,6.3,0.62,0.65,2.55,0.005407261,5.31,15.06,0.8,2.15
612,LITH03626751-MKD66-126.1,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,80.0,130.07,400.0,,,,,,,,,360.0,,,0.0,,,,,,,,,,,,0.0,50.89,0.18,10.05,0.68,1.19,1.15,0.05,9.7,15.39,1.9,8.79
613,LITH03626751-BSD081B-731.00,Dacite,Rock,-30.39,121.63,376,-731.0,-731.0,Unknown,Black Swan,"Cygnet, lower felsics",,,,107.54,,,77.0,494.24,11100.0,,,,,90.73,11.2,,,59.0,,555.62,2216.91,77.46,,,,,,,,,,,0.11,66.98,0.12,1.5,0.76,0.78,2.41,0.008677387,6.37,17.04,1.17,2.48
614,LITH03626751-HWD08-295.80,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,7.0,0.0,4300.0,,,3938.29,,,,,,1934.0,,,,,,,,,,,,,,,0.0,43.98,0.08,0.48,0.04,0.02,0.01,0.28,4.93,0.83,0.05,48.9
615,LITH03626751-HWD19-367.90,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,115.0,29.0,300.0,,,2169.24,,,,,,3382.0,,,,115.0,,,,,,,,,,,0.0,47.75,0.16,3.46,0.36,0.8,0.06,0.49,8.89,6.87,0.06,30.86
616,LITH03626751-HWD38-277.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,303.0,800.0,,,3601.06,,,,,,1583.0,,,,,,,,,,,,,,,0.0,39.95,0.11,5.53,0.02,0.14,0.01,0.23,7.74,0.21,0.05,45.56
618,LITH03626751-HWD26A-262.00,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,76.0,1285.0,19500.0,,,3372.43,,,,,,630.0,,,,306.0,,,,,,,,,,,0.0,41.2,0.18,5.06,0.14,0.2,0.06,0.09,5.6,2.4,0.01,43.28
623,LITH03626751-BSD061-540.30A,Dacite,Rock,-30.39,121.64,374,-540.0,-540.0,Unknown,Black Swan,"Silver Swan, lower felsics",,,,173.03,,,10.0,18.38,100.0,,,,,80.02,11.89,,,37.0,,602.36,180.6,35.68,,,,,,,,,13.0,,0.15,70.65,0.03,4.17,0.64,0.22,0.62,0.005373964,1.82,17.19,2.73,1.71
624,LITH03626751-HWD24-209.30,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,42.0,0.0,800.0,,,4159.0,,,,,,1578.0,,,,115.0,,,,,,,,,,,0.0,43.4,0.08,0.01,0.01,0.0,0.06,0.23,4.43,0.24,0.08,51.06
625,LITH03626751-HWD38-234.10,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,87.0,7600.0,,,3801.7,,,,,,1660.0,,,,,,,,,,,,,,,0.0,43.1,0.06,2.33,0.04,0.06,0.01,0.24,4.93,0.82,0.05,47.55
626,LITH03626751-HWD03-097.50,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,165.0,173.0,5800.0,,,2705.06,,,,,,3071.0,,,,134.0,,,,,,,,,,,0.0,44.81,0.23,4.28,0.1,0.53,0.03,0.44,8.16,4.86,0.09,36.47
629,LITH03626751-WAP050-1038,Basalt,Rock,-27.8,120.7,521,0.0,0.0,Unknown,Perseverance,,,,,,,,74.16,5.3,200.0,,,594.53,,,,,,530.0,,,0.0,58.34,,,,,,,,,,,0.0,48.52,0.18,15.46,0.47,0.93,0.99,0.07,7.61,12.28,0.07,13.34
630,LITH03626751-SXB04625,Basalt,Rock,-31.31,119.39,381,-248.0,-248.0,Unknown,Axehandle,"Axehandle, Axehandle",,,,83.52,,,,90.41,200.0,,,,,241.36,,,,154.0,,,,,,,,,,,,,,,0.08,52.79,0.2,9.3,0.93,1.25,0.16,0.02,10.19,13.95,3.76,7.29
631,LITH03626751-HWD03-104.25,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,103.0,145.0,7900.0,,,2529.92,,,,,,3572.0,,,,134.0,,,,,,,,,,,0.0,46.13,0.3,5.09,0.1,0.54,0.05,0.52,7.16,5.5,0.13,34.65
633,LITH03626751-21609/A,Basalt,Rock,-27.24,120.53,556,0.0,0.0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,84.95,70.15,52.24324,,,451.3,,,,,,900.0,,,0.0,,,,,,,,,,,,0.0,51.47,0.17,10.23,0.54,1.25,0.06,0.13,10.17,11.29,2.9,11.71
634,LITH03626751-HWD38-306.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,543.0,4500.0,,,3587.25,,,,,,1315.0,,,,,,,,,,,,,,,0.0,38.22,0.2,5.04,0.03,0.19,0.03,0.19,9.18,0.74,0.04,45.43
635,LITH03626751-BSD089-694.40,Dacite,Rock,-30.39,121.64,374,-694.0,-694.0,Unknown,Black Swan,"Cygnet-Black Swan gap, lower felsics",,,,28.83,,,299.0,30.04,300.0,,,,,89.58,6.17,,,3888.0,,28.83,,180.24,,,,,,,,,13.0,,0.04,75.78,0.22,0.28,0.55,0.83,0.02,0.56,6.73,13.79,0.09,1.09
636,LITH03626751-HWD26A-287.00,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,95.0,270.0,4000.0,,,3534.86,,,,,,1800.0,,,,106.0,,,,,,,,,,,0.0,45.26,0.07,1.18,0.02,0.17,0.08,0.26,7.12,0.53,0.03,44.9
637,LITH03626751-BSD020-160.35b,Dacite,Rock,-30.39,121.63,376,-160.0,-160.0,Unknown,Black Swan,"Silver Swan, upper felsics",,,,181.4,,,33.0,7.51,75.17551,,,,,165.3,11.8,,,36.0,,118.07,982.17,12.88,,,,,,,,,,,0.31,58.7,0.1,0.84,0.89,0.66,3.24,0.005334051,5.37,19.92,1.61,8.31
638,LITH03626751-HWD38-133.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,64.0,8200.0,,,3405.85,,,,,,1729.0,,,,,,,,,,,,,,,0.0,44.66,0.13,3.25,0.03,0.18,0.01,0.25,5.98,0.39,0.43,43.61
639,LITH03626751-HWD38*-319.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,83.0,5.0,800.0,,,2219.36,,,,,,2626.0,,,,,,,,,,,,,,,0.0,47.94,0.16,4.23,0.27,0.79,0.02,0.38,9.02,5.56,0.01,31.39
640,LITH03626751-HWD03-087.10,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,207.0,176.0,6700.0,,,2096.58,,,,,,3287.0,,,,137.0,,,,,,,,,,,0.0,48.41,0.17,6.8,0.11,0.78,0.04,0.48,7.96,5.09,0.19,30.09
642,LITH03626751-HWD38-293.40,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,1640.0,16800.0,,,3074.65,,,,,,1899.0,,,,,,,,,,,,,,,0.0,44.93,0.11,3.38,0.01,0.45,0.03,0.27,8.98,0.21,0.17,40.27
645,LITH03626751-HWD03-090.05,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,184.0,132.0,4700.0,,,2219.71,,,,,,2927.0,,,,127.0,,,,,,,,,,,0.0,45.5,0.18,6.65,0.15,0.8,0.02,0.42,8.87,5.91,0.11,31.39
646,LITH03626751-FFD081-218.55,Basalt,Rock,-32.41,119.69,429,0.0,0.0,Unknown,Flying Fox,"Western, U1, WESTERN AREAS NL",,,,41.0,,,101.0,135.0,100.0,,,580.41,,267.0,16.0,,,208.0,,22.0,93.0,82.0,0.0,,,,,,,,,,0.0,52.25,0.27,13.92,0.67,1.22,0.17,0.03,9.91,7.99,0.16,13.33
647,LITH03626751-HWD19-377.70,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,85.0,0.0,300.0,,,2369.63,,,,,,3239.0,,,,85.0,,,,,,,,,,,0.0,47.76,0.14,3.35,0.34,0.63,0.07,0.47,7.9,6.02,0.08,32.98
650,LITH03626751-HWD38-317.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,64.0,17.0,1700.0,,,2541.96,,,,,,2483.0,,,,,,,,,,,,,,,0.0,46.33,0.17,6.38,0.21,0.47,0.01,0.36,6.59,4.41,0.01,34.78
