sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
LITH03626751-BD001-040.00,Dacite,Rock,-30.19,121.82,365,-40,-40,Unknown,Binti Binti,,1.91,1.08,3.32,137.95,0.54,3.12,70,46.24,1300,0.68,14.6,,1.76,116.8,20.13,3.42,33.23,43,16.11,354.45,117.81,21.11,0.31,3.92,0.28,,,,,2.51,,,0.18,59.11,0.16,10.43,0.76,0.71,0.13,0.006328452,5.76,16.21,3.2,3.29
LITH03626751-KJS318-2,Basalt,Rock,-29.29,120.56,442,0,0,Unknown,Kurrajong,"Kurrajong, Walter Williams",3.69,0.87,5.12,30.75,0.76,4.71,,30.88,,1.29,5.12,839.95,2.76,223.86,,2.2,2.46,1894,6.76,,,78.52,0.45,1.16,,0.00666,,,0.00871,0.2,1.02,,0.007175648,50.14,0.23,14.76,0.34,1.09,0.09,0.27,8.88,7.21,0.58,16.29
LITH03626751-BSD089-206.50,Dacite,Rock,-30.39,121.64,374,-206,-206,Unknown,Black Swan,"Cygnet-Black Swan gap, upper felsics",0.53,0.98,1.55,118.1,0.3,2.52,54,19.29,700,0.24,23.62,,0.51,62.27,10.73,3.22,46.16,26,18.78,188.97,533.63,16.07,0.08,5.04,0.07,,,,,3.54,,,0.21,64.97,0.02,3.13,0.62,0.31,2.92,,2.56,18.84,4.1,2.27
LITH03626751-EG 4560,Dolerite,Rock,-30.78,121.51,280,-630,-630,Unknown,Golden Mile Dolerite,unit6,2.27,0.8,3.63,41.01,0.57,2.91,83.56,337.22,1500,0.7,2.63,,2.06,1321.69,20.34,1.97,7.58,,5.82,116.55,34.85,77.64,0.31,1.18,0.35,,1.31,,,0.32,1.97,0.21,0.06,51.05,0.17,8.26,1.83,1.83,0.37,,14.83,12.94,2.43,6.17
LITH03626751-AMP-HM-120524-023A,Basalt,Rock,-21.408455,117.15948,337,0,0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",2.32,0.82,3.76,117.56,0.57,3.63,41.25,40.63,72.20039,0.82,16.48,0,2,183.39,20.81,3.36,32.86,8,15.24,38.42,324.54,21.12,0.28,3.79,0.28,,3.19,21.63,,6.28,7.1,0.72,0.1,73.04,0.03,5.52,0.7,0.32,1.7,0.001205819,2.59,12.36,2.03,0.03
LITH03626751-NID7-206.2,Basalt,Rock,-32.53,119.74,389,0,0,Unknown,North Ironcap,,1.7,0.9,3.3,52,0.5,2.9,113,,100,0.7,3.9,674.85,1.6,212,14,2.2,10.2,1314,6.8,154,238,88,0.3,1.5,0.2,,,,,0.6,,,,52.68,0.32,10.96,0.74,1.29,0.6,0.19,10.52,7.83,0.34,14.41
LITH03626751-AMP-HM-120529-056,Basalt,Rock,-22.647785,117.77127,805,0,0,Unknown,Pipeline,"North of Tom Price Syncline, South Hamersley Basin",3.33,1.1,5.06,148.66,0.82,4.76,71.23,33.37,72.33004,1.18,23.84,0,3.1,233.31,28.39,4.77,47.79,106,22.81,151.65,324.37,40.6,0.48,5.86,0.42,,4.43,32,,7.86,9.18,0.72,0.14,55.93,0.13,10.92,0.93,0.96,0.55,0.01,7.85,16.52,1.81,4.19
LITH03626751-EG 4564,Dolerite,Rock,-30.78,121.51,280,-661,-661,Unknown,Golden Mile Dolerite,unit7,2.12,0.72,3.45,40.52,0.5,2.6,77.03,187.85,1600,0.68,2.21,,2.02,1196.66,19.83,2.11,6.85,,5.8,141.61,6.54,80.13,0.3,1.11,0.31,,1.37,,,0.31,1.89,0.1,0.06,48.11,0.22,9.52,2.13,2.04,0.04,,16.57,13.5,1.56,6.2
LITH03626751-W3-946,Basalt,Rock,-26.74,120.25,494,0,0,Unknown,Wiluna - Lake Way,,,,,24,,,69,130,4100,,,414.12,,187,8,,,835,,136,65,67,,,,,,,,,,,,52.63,0.19,10.3,0.36,0.93,0.42,0.12,7.59,15.22,0.98,11.41
LITH03626751-GSWA-165366,Basalt,Rock,-28.07,119.22,523,0,0,Unknown,Sandstone Belt,GSWA-SOUTHERN CROSS,3.01,1.27,4.88,97.84,0.86,4.96,94.34,121.75,0,1.04,6.82,0,2.54,439.17,25.48,3.8,17.97,43,12.74,81.84,36.4,,0.35,2.46,,0.0248,2.61,51.19,0.02341,0.68,4.55,0.22,0.14,51.44,0.1,5.64,1.27,1.32,0.06,0.006318899,10.68,15.26,4.93,9.09
LITH03626751-GSWA-165390,Basalt,Rock,-28.17,119.48,472,0,0,Unknown,Sandstone Belt,GSWA-SOUTHERN CROSS,2.09,0.87,3.54,62.36,0.6,3.3,73.79,119.8,95.84387,0.72,4.12,0,1.96,306.61,20.26,2.31,10.8,792,8.14,99.78,78.99,,0.25,1.49,,0.00072,1.76,41.57,0.00103,0.41,3.11,0.1,0.08,52.83,0.16,9.52,1,1.22,0.14,0.11,9.9,11.53,3.46,9.97
LITH03626751-BSD063-669.90,Dacite,Rock,-30.39,121.64,374,-670,-670,Unknown,Black Swan,"Silver Swan, lower felsics",,,,135.51,,,34,45.18,,,,,,121.19,12.11,,,7,,424.18,170.77,13.22,,,,,,,,,,,0.22,68.87,0.07,5.94,0.65,0.35,0.45,,2.91,15.68,1.82,2.97
LITH03626751-ELD001-357.15,Dacite,Rock,-30.28,121.95,429,-357,-357,Unknown,Emu Lake,SIR SAMUEL MINES NL,,,,193.68,,,34,3.04,,,,,,14.19,21.29,,,3,,643.92,750.39,8.11,,,,,,,,,,,0.21,66.25,0.08,4,0.73,0.58,0.74,,4.72,15.02,6.43,1.18
LITH03626751-BSD037G-555.00,Dacite,Rock,-30.39,121.63,376,-555,-555,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",1.06,2.6,2.92,193.98,0.62,6.06,98,6.46,1900,0.43,82.36,,0.91,63.93,16.25,9.97,157.13,,65.02,2456.75,4623.07,8.62,0.14,18.42,0.14,,,,,14.08,,,0.33,64.35,0.08,4.23,0.65,0.41,2.15,,3.38,17.32,5.66,1.36
LITH03626751-HWD03-300.40,Basalt,Rock,-26.89,120.38,503,0,0,Unknown,Honeymoon Well,East side barren flows,,,,,,,45,25,3700,,,3501.15,,,,,,1653,,,,,,,,,,,,,,,0,43.24,0.19,6.9,0.06,0.07,0.01,0.24,3.13,1.22,0.01,44.57
LITH03626751-BSD046-257.00,Dacite,Rock,-30.38,121.64,376,-257,-257,Unknown,Black Swan,"North of SS, lower felsics",,,,128.19,,,9,9.86,,,,,,67.93,12.05,,,32,,279.4,118.33,5.47,,,,,,,,,,,0.09,68.48,0.02,7.03,0.59,0.18,0.87,,1.53,15,4.19,1.96
LITH03626751-r081-45.60-45.80,Andesite,Rock,0.06766246,22.542393,474,-46,-46,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,172.1,,,142.21,79.42,300,,,,,306.07,26.79,,,101,,121.6,66.98,40.22,,,,,,,,,,,0.26,51.79,0.24,7.76,2.28,1.57,0.21,0.01,12.74,13.22,4.66,5.2
LITH03626751-EG 4536,Dolerite,Rock,-30.78,121.51,280,-595,-595,Unknown,Golden Mile Dolerite,unit6,2.14,0.69,3.61,44.49,0.54,2.82,65.53,363.54,800,0.73,2.85,,2.07,1033.69,20.71,2.21,7.71,,6.13,116.58,10.88,71.77,0.28,1.21,0.32,,1.47,,,0.21,2,0.1,0.06,50.01,0.2,9.25,1.64,1.8,0.05,,14.6,12.84,2.38,7.11
LITH03626751-HWD38-240.80,Basalt,Rock,-26.88,120.35,501,0,0,Unknown,Honeymoon Well,West side min flows,,,,,,,,389,7700,,,4358.24,,,,,,1658,,,,,,,,,,,,,,,0,40.25,0.03,0.15,0.04,0,0.01,0.24,4.67,0.65,0.06,52.99
LITH03626751-EG 4622,Dolerite,Rock,-30.78,121.51,280,-450,-450,Unknown,Golden Mile Dolerite,"unit6, KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD",1.99,0.6,2.89,38.86,0.47,2.46,116.16,382.99,600,0.62,2.82,,1.93,1075.86,17.8,1.62,6.83,,5.86,108.78,10.74,70.24,0.24,1.06,0.3,,1.41,,,0.21,1.84,0.1,0.07,48.61,0.21,10.36,1.67,1.85,0.05,,15.01,13.12,2.26,6.73
LITH03626751-EG 4649,Dolerite,Rock,-30.78,121.51,280,-650,-650,Unknown,Golden Mile Dolerite,"unit7, KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD",3.22,0.99,5.05,69.38,0.79,3.9,107.98,60.54,4800,1.01,3.9,,3.17,174.61,28.83,2.87,11.02,23,9.41,127.74,112.34,83.79,0.43,1.72,0.48,,2.29,,,0.57,3.21,0.22,0.1,47.58,0.28,8.21,3.84,2.24,0.71,,18.17,11.99,2.55,4.29
LITH03626751-EG 4628,Dolerite,Rock,-30.78,121.51,280,-452,-452,Unknown,Golden Mile Dolerite,"unit6, KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD",2,0.57,3.12,40.83,0.55,2.43,135.76,414.07,1000,0.61,2.82,,1.99,1125.2,18.78,1.73,7.16,,5.86,104.48,20.96,72.89,0.27,1.09,0.3,,1.52,,,0.21,1.73,0.1,0.06,49.07,0.19,8.68,1.77,1.87,0.14,,15.21,13.64,2.57,6.75
LITH03626751-AMP-HM-120522-010C,Basalt,Rock,-22.785954,117.494606,490,0,0,Unknown,Rocklea Dome North,"South of Tom Price Syncline, South Hamersley Basin",3.1,1.53,3.75,523.88,0.52,2.98,12.25,39.74,30.64941,0.91,10.41,0,3.55,26.55,23.38,2.62,19.6,,10.62,102.53,45.03,8.17,0.65,2.49,0.52,,15.11,,,11.9,16.95,1.53,0.06,73.82,0.05,9.26,0.46,0.48,0.08,,3.93,10.64,0.13,1.05
LITH03626751-r083-23.70-23.85,Basalt,Rock,0.06766165,22.54239,474,-24,-24,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,175.58,,,177.65,70.34,100,,,,,334.64,26.85,,,137,,181.78,2.06,40.34,,,,,,,,,,,0.24,50.11,0.24,8.48,2.35,1.57,0.35,0.02,12.77,13.61,4.13,6.09
LITH03626751-FGD93-10-450.4,Rhyolite,Rock,-32.23,120.5,350,-450,-450,Unknown,Maggie Hays,Central UM,1.7,0.8,3.31,104.52,0.5,3.51,33.16,,100,0.5,18.09,,1.7,60.3,46.23,2.91,32.16,10,13.06,157.79,,5.02,0.2,3.41,0.2,,,,,,,,,74.73,0.02,2.18,0.42,0.1,2.19,,0.84,14.6,3.67,1.21
LITH03626751-HWD38-211.50,Basalt,Rock,-26.88,120.35,501,0,0,Unknown,Honeymoon Well,West side min flows,,,,,,,,100,3500,,,4048.94,,,,,,1649,,,,,,,,,,,,,,,0,42.79,0.06,0.67,0.03,0,0.01,0.24,4.79,0.64,0.06,49.98
LITH03626751-BSD027-427.26,Dacite,Rock,-30.39,121.64,374,-427,-427,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",,,,101.91,,,9,4.09,2100,,,,,24.7,7.2,,,1,,140,915.17,3.06,,,,,,,,,,,0.06,62.94,0.01,0.27,0.08,0.02,2.99,,0.2,24.42,8.63,0.3
LITH03626751-AMP-HM-120527-038,Basalt,Rock,-23.01171,117.891,553,0,0,Unknown,Tom Price South,"South of Tom Price Syncline, South Hamersley Basin",2.37,0.81,3.55,75.08,0.54,3.26,83.53,26.26,100,0.88,7.71,0,2.21,183.99,21.25,2.38,17.13,1078,10.57,33.2,124.99,71.89,0.35,2.23,0.33,,2.22,31.72,,1.41,3.8,0.31,0.12,54.14,0.16,7.03,0.81,1.33,0.05,0.15,10.77,9.18,0.58,15.75
LITH03626751-BSD089-202.90-203.60a,Dacite,Rock,-30.39,121.64,374,-203,-203,Unknown,Black Swan,"Cygnet-Black Swan gap, upper felsics",0.86,0.61,1.54,117.91,0.22,1.7,15,11.36,100,0.27,14.98,,0.88,28.93,12.52,2.11,28.93,3,12.19,141.91,442.22,5.16,0.12,3.2,0.13,,,,,2.27,,,0.1,74.87,0.01,1.46,0.44,0.13,2.34,,1.11,14.86,3.62,0.98
LITH03626751-21613/1,Basalt,Rock,-27.24,120.53,556,0,0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,94.94,85.2,51.43795,,,412.73,,,,,,1199,,,0,,,,,,,,,,,,0,52.2,0.2,12.05,0.62,1.23,0.09,0.17,9.99,9.74,2.37,11.27
LITH03626751-SXB04686,Basalt,Rock,-31.22,119.29,349,-28,-28,Unknown,Southern Cross Township,SONS OF GWALIA LTD,1.61,0.65,2.69,31.84,0.37,2.15,112.4,17.26,1700,0.6,2.25,788.27,1.66,132.57,,1.56,4.08,3203,4.68,,,104.72,0.25,0.92,0.23,,0,,,0.32,1.61,0,,50.25,0.15,5.74,0.66,1.43,0.8,0.46,11.61,11.08,1.96,15.71
LITH03626751-BSD027A-555.50,Dacite,Rock,-30.39,121.63,376,-556,-556,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",1.13,2.45,3.16,187.59,0.65,6.1,94,49.27,6500,0.45,80.7,,0.91,69.8,16.35,10.03,152.69,,65.43,738.36,1084.1,11.78,0.15,17.99,0.15,,,,,14.17,,,0.34,64.45,0.07,4.18,0.66,0.31,1.66,,2.58,17.6,6.66,1.37
LITH03626751-BSD091-357.20,Dacite,Rock,-30.39,121.63,376,-357,-357,Unknown,Black Swan,"Silver Swan, upper felsics",,,,146.22,,,4,6.18,,,,,,147.25,12.35,,,55,,206.98,274.95,3.09,,,,,,,,,15,,0.24,71.37,0.007208467,1.67,0.66,0.13,1.49,0.007976843,1.07,16.06,5.79,1.45
LITH03626751-SXB04701,Basalt,Rock,-31.34,119.41,395,-37,-37,Unknown,Glendower,Target 10,1.61,1.25,2.96,46.15,0.41,2.91,100.23,108.75,,0.58,4.78,915.6,1.45,221.22,,2.59,13.93,2106,9.04,,,101.5,0.16,1.87,0.22,0.02287,0,,0.01663,0.62,2.59,0,0.06,50.99,0.21,7.8,0.82,1.56,0.18,0.3,12.71,6.56,1.48,17.15
LITH03626751-MC2103/4,Basalt,Rock,-28.45,120.98,426,0,0,Unknown,Mount Clifford/Marshall Pool,Mount Clifford dunite/gabbro complex,3.46,1.06,5.46,85.66,0.81,4.41,,,100,1.17,3.48,,3.3,262.09,31.61,3.16,9.63,15,8.78,58.13,48.95,,0.5,1.66,0.49,0.00018,2.44,,0.00028,0.36,3.26,0.18,0.11,55.77,0.24,6.53,1.2,1.72,0.18,,14,13.24,3.92,3.03
LITH03626751-AMP-HM-120522-010B,Basalt,Rock,-22.786566,117.495094,490,0,0,Unknown,Rocklea Dome North,"South of Tom Price Syncline, South Hamersley Basin",3.15,1.22,4.67,93.47,0.73,4.44,69.37,7.04,200,1.1,10.07,0,2.88,212.91,27.1,3.85,22.32,170,15.16,154.23,218.59,43.33,0.46,3.24,0.46,,2.59,33.23,,1.71,4.67,0.62,0.15,51.72,7.46,9.47,0.98,1.12,0.22,0.02,9.05,16.42,3.19,0.15
LITH03626751-BSD063c-787.12,Dacite,Rock,-30.39,121.63,376,-787,-787,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",0.76,0.86,1.59,125.24,0.26,2.04,116,4194.3,43600,0.26,21.08,,0.76,71.57,14.05,2.74,42.17,12,18.53,325.9,245.38,317.71,0.17,4.6,0.11,,,,,3.19,,,0.14,64.89,0.2,3.1,0.6,1.35,0.37,,10.97,15.22,1.95,1.15
LITH03626751-AgC030,Dacite,Rock,-28,120.5,513,-684,-683.5,Unknown,Agnew-Crusader,"Southern Seismic Line, Mine Corridor, AGNEW GOLD MINING COMPANY PTY LTD",1.42,0.86,2.47,102.18,0.4,2.65,56.76,39.22,2200,0.49,12.47,0,1.34,143.47,12.66,2.91,26.11,62,13.31,139.85,152.65,22.7,0.2,3.21,0.2,0.00049,2.89,15.58,0.00035,2.76,2.56,0.16,0.11,63.56,0.09,6.76,0.66,0.68,0.68,0.005732506,5.57,14.95,4.77,2.22
LITH03626751-AMP-HM-120529-059D,Basalt,Rock,-22.62833,117.74392,735,0,0,Unknown,Pipeline,"North of Tom Price Syncline, South Hamersley Basin",2.92,1.33,5.52,169.03,0.9,5.28,20.36,38.09,40.73958,1.09,18.63,0,2.46,257.62,27.39,4.8,40.32,,21.99,7.02,231.55,15.17,0.35,5.26,0.39,,4.88,28.51,,9.83,10.38,0.91,0.15,78.27,0.02,0.8,1.06,0.32,3.77,,2.6,11.93,0.06,0.97
LITH03626751-BSD076-221.3,Dacite,Rock,-30.39,121.63,376,-221,-221,Unknown,Black Swan,"Southern Flank, Southern Flank",,,,107.42,,,14,22,100,,,,,66.99,9.24,,,,,131.67,206,20,,,,,,,,,2,,0.09,66.7,0.13,9.67,0.37,0.4,1.12,,3.23,12.77,1.18,4.34
LITH03626751-FGD93-10-201.5,Rhyolite,Rock,-32.23,120.5,350,-202,-202,Unknown,Maggie Hays,Central UM,0.9,0.7,1.6,99.02,0.2,1.9,21,,100,0.2,17.5,,1,57.01,8,2.2,33,8,12.5,367.07,,3.99,0.1,3.5,0.1,,,,,6,,,,74.04,0.06,2.22,0.39,0.29,0.96,,2.4,14.06,5.05,0.52
LITH03626751-Fort2015-HM-68A,Basalt,Rock,-21.634752,116.54473,255,0,0,Unknown,Hamersley Basin North,HiTh Mafic North,4.41,1.64,6.97,202.23,1.12,6.98,114.21,101.32,300,1.47,34.26,0,4.08,227.37,38.87,7,68,0,32.16,283.33,984.74,48.09,0.6,8.04,0.64,,5.55,31.43,,10.48,13.09,1.25,0.18,59.07,0.15,7.15,1.15,1.09,2.46,0,8.87,13.78,2.25,3.81
LITH03626751-LMCD005-295.2,Basalt,Rock,-28.49,121.08,454,-295,-295,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.51,0.23,0.81,7.98,0.12,0.67,,49.27,800,0.17,0.61,2960.17,0.5,83.31,4.56,0.5,1.67,2256,1.42,9.13,,,0.07,0.26,0.07,0.0065,0.34,,0.00867,,0.34,,0.02,45.37,0.15,1.15,0.19,0.44,0.02,0.32,9,3.92,0.02,39.1
LITH03626751-NMD53-257.75,Basalt,Rock,-32.45,119.68,414,0,0,Unknown,New Morning,NEWEXCO SERVICES PTY LTD,,,,6,,,62,63,8000,,,648.41,,87,2,,,839,,133,,69,,,,,,,,,,,,53.71,0.39,23.72,0.07,0.66,0.05,0.12,5.35,1.93,0.1,14.11
LITH03626751-HWD19-366.30,Basalt,Rock,-26.88,120.35,501,0,0,Unknown,Honeymoon Well,West side min flows,,,,,,,32,32,3700,,,2537.98,,,,,,1314,,,,96,,,,,,,,,,,0,42.18,0.26,15.01,0.1,0.31,0.13,0.19,4.33,2.6,0.02,34.74
LITH03626751-BSD025-490.74,Dacite,Rock,-30.39,121.63,376,-491,-491,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",0.89,2.8,2.69,185.18,0.62,6.5,68,18.78,5700,0.44,92.02,,0.83,87.53,19.07,10.99,173.95,2,76.31,515.13,1776.6,7.73,0.14,20.76,0.13,,,,,16.27,,,0.37,65.12,0.09,4.79,0.72,0.33,3.17,,2.71,19.15,1.79,1.66
LITH03626751-EG 4544,Dolerite,Rock,-30.78,121.51,280,-599,-599,Unknown,Golden Mile Dolerite,unit6,2.19,0.69,3.75,46.45,0.58,2.96,71.54,365.94,700,0.71,2.65,,2.14,1145.85,21.25,2.13,8.08,11,6.27,109.45,50.3,73.93,0.3,1.16,0.33,,1.49,,,0.21,2.02,0.1,0.05,50.15,0.2,7.84,1.79,1.9,0.16,,15.32,13.13,2.54,7.03
LITH03626751-BSD063B-453.45A,Dacite,Rock,-30.39,121.63,376,-453,-453,Unknown,Black Swan,"Silver Swan, upper felsics",,,,147.59,,,4,19.5,500,,,,,69.15,16.44,,,58,,64.75,350.92,10.3,,,,,,,,,13,,0.24,75.18,0.01,0.42,0.7,0.11,3.89,0.008145893,0.91,17.12,0.66,0.61
LITH03626751-LJD0009 771.00,Dacite,Rock,-32.24,120.51,364,0,0,Unknown,Maggie Hays,Felsic Vol,2.01,0.6,3.02,,0.6,2.01,,,,0.6,14.11,,2.01,,,3.02,27.21,,12.09,,,,0.4,3.02,0.4,0.0005,3.83,,,14.41,5.34,0.5,0.008065185,77.52,0.15,0.58,0.02,0.09,2.31,,0.79,13.6,4.76,0.12
LITH03626751-14210,Rhyolite,Rock,-20.84,116.83,34,0,0,Unknown,Ruth Well,,1.65,1.65,2.64,57,0.66,2.75,1101,271,19800,0.77,10.14,,1.54,44,10,4.63,20.39,342,10.36,37,2479,65,0.55,2.86,0.44,,,,,,,,,84.86,0.14,4.4,0.21,,0.89,0.05,2.69,4,0.47,2.28
LITH03626751-AMP-HM-120521-003I,Basalt,Rock,-23.0958,117.87456,504,0,0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",3.12,1.07,4.59,111.85,0.72,4.02,93.21,150.49,20.74324,1.09,10.66,0,2.78,225.78,26.2,3.25,24.54,248,13.67,163.12,375.54,53.41,0.4,3.2,0.43,,3.1,32.1,,2.75,6.93,0.82,0.16,51.87,0.19,8.36,1.22,1.27,0.84,0.03,10.3,15,4.29,6.42
LITH03626751-Fort2015-45771A,Basalt,Rock,-21.59,117.54,348,0,0,Unknown,Hamersley Basin North,,5.19,1.93,8.27,247.35,,7.87,114.16,52.92,0,1.81,40.38,0,4.85,271.67,44.39,8.16,79.91,22,36.15,80.33,0,53.97,0.73,,,,,35.94,,13.74,13.74,,0.17,64.48,0.23,2.66,1.33,1.2,2.11,0.003244432,9.74,12.47,3.38,2.18
LITH03626751-WP-76,Basalt,Rock,70.04,25.1,52,0,0,Unknown,Karasjok,Karasjok,1.04,0.62,2.09,,,,,188.56,,,1.57,964.35,1.04,175.98,,1.04,3.66,1706,2.61,,,,,,,0.0068,0.62,,0.00261,0.31,1.78,,0.02,50.7,0.2,10.68,0.49,1.05,0.24,0.02,8.56,8.67,1.61,17.7
LITH03626751-BSD086-423.60-424.40,Dacite,Rock,-30.39,121.65,368,-424,-424,Unknown,Black Swan,"Southern flank, lower felsics",0.84,0.76,1.55,158.33,0.24,1.6,38,2.06,400,0.27,11.59,,0.78,72.43,13.45,1.86,23.28,12,10.14,192.48,196.62,9.3,0.12,2.63,0.13,,,,,3.72,,,0.26,71.73,0.04,1.19,0.72,0.23,1.2,,1.86,20.04,1.86,0.82
LITH03626751-HWD38-114.50,Basalt,Rock,-26.88,120.35,501,0,0,Unknown,Honeymoon Well,West side min flows,,,,,,,,2112,18700,,,3054.32,,,,,,1757,,,,,,,,,,,,,,,0,48.05,0.1,0.94,0.06,0.41,0.04,0.25,7.91,0.21,0.44,40.06
LITH03626751-BSD020-229.30,Dacite,Rock,-30.39,121.63,376,-229,-229,Unknown,Black Swan,"Silver Swan, upper felsics",0.92,1.22,2.04,153.54,0.35,2.91,105,78.84,61.43791,0.34,27.63,,0.85,73.7,14.33,4.19,61.41,14,26.61,266.14,135.11,7.16,0.14,7.37,0.13,,,,,3.48,,,0.28,66.99,0.02,0.55,0.63,0.48,0.31,,3.9,16.3,6.29,4.19
LITH03626751-BSD046-293.30,Dacite,Rock,-30.38,121.64,376,-293,-293,Unknown,Black Swan,"North of SS, lower felsics",0.98,0.87,2.18,109.38,0.43,2.73,46,40.47,100,0.32,19.68,,0.87,111.57,15.31,3.06,38.28,37,16.4,339.1,414.58,12.03,0.1,4.15,0.21,,,,,2.73,,,0.2,65.23,0.11,5.31,0.8,0.43,2.19,0.005435784,3.54,16.92,3.46,1.73
LITH03626751-SED109-217.57,Rhyolite,Rock,-32.71,119.81,393,0,0,Unknown,Digger Rocks,Eastern (S),1.23,0.73,2.07,165,2.44,0.36,99,17,100,0.44,24.85,,1.32,72,12,2.97,45.73,,17.1,116,697,44,0.2,4.92,,,,9,,,,,0,70.22,0.04,1.16,0.51,0.31,2.13,0,2.58,15.04,5.41,2.54
LITH03626751-DR-11,Dacite,Rock,-32.71,119.81,393,0,0,Unknown,Digger Rocks,Eastern (S),,,,102,,,35,1,100,,,,,62,26,,,,,288,103,72,,,,,,,,,,,0,63.8,0.15,4.36,0.79,0.98,0.15,0,7.95,14.09,5.16,2.5
LITH03626751-AMP-HM-120529-059E,Basalt,Rock,-22.628637,117.7439,736,0,0,Unknown,Pipeline,"North of Tom Price Syncline, South Hamersley Basin",4.28,1.45,6.43,181.78,1.02,6.06,128.94,62.27,200,1.42,31.7,0,3.84,292.75,35.51,6.26,64.47,43,29.27,170.26,446.43,41.55,0.64,7.49,0.65,,5.28,33.82,,10.36,11.2,0.95,0.15,60.88,0.16,7.08,1.17,1.12,2.06,0.006341358,9.13,13.41,1.88,2.92
LITH03626751-BSD090A-395.4,Dacite,Rock,-30.39,121.63,376,-395,-395,Unknown,Black Swan,"Cygnet, Silver Swan-Cygnet",0.67,0.5,1.16,72.72,0.2,1.73,98,124.39,100,0.21,8.05,,0.82,239.42,20.13,2.12,17.34,361,9.39,220.4,60.41,47.06,0.14,2.23,0.11,,,,,1.11,,,0.09,55.19,0.13,4.53,0.8,1.26,0.27,0.05,10.26,15.3,2.37,9.72
LITH03626751-r084-15.40-15.70,Basalt,Rock,0.0676612,22.54239,474,-15,-15,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,140.63,,,130.44,203.17,100,,,,,299.62,23.43,,,345,,399.49,36.68,42.88,,,,,,,,,,,0.22,50.32,0.23,10.5,2.04,1.52,0.28,0.05,12.35,12.23,3.13,7.07
LITH03626751-BSD091-359.00,Dacite,Rock,-30.39,121.63,376,-359,-359,Unknown,Black Swan,"Silver Swan, upper felsics",,,,117.73,,,1,1.03,,,,,,92.94,9.29,,,13,,166.27,350.1,4.13,,,,,,,,,12,,0.14,72.05,0.00722937,1.74,0.51,0.1,1.64,,0.84,15.9,5.73,1.3
LITH03626751-EG 4526,Dolerite,Rock,-30.78,121.51,280,-592,-592,Unknown,Golden Mile Dolerite,unit6,2.43,0.81,3.92,56.31,0.68,3.32,87.78,162.91,200,0.81,3.21,,2.25,770.82,24.73,2.46,9.31,214,7.17,121.29,11.24,57.7,0.35,1.41,0.35,,1.71,,,0.21,2.14,0.1,0.08,50.87,0.19,8.99,1.38,1.62,0.05,0.03,13.13,14.59,2.14,6.88
LITH03626751-HWD03-143.10,Basalt,Rock,-26.89,120.38,503,0,0,Unknown,Honeymoon Well,East side barren flows,,,,,,,53,17,3500,,,3690.29,,,,,,6919,,,,133,,,,,,,,,,,0,46.22,0.13,0.01,0.05,0.07,0.02,1.01,4.49,1.47,0.06,46.45
LITH03626751-HWD26A-325.70,Basalt,Rock,-26.89,120.38,503,0,0,Unknown,Honeymoon Well,East side barren flows,,,,,,,42,0,600,,,4160.32,,,,,,1372,,,,150,,,,,,,,,,,0,42.25,0.04,0,0.01,0,0.05,0.2,5.75,0.12,0.08,51.07
LITH03626751-ELD001-236.2,Dacite,Rock,-30.28,121.95,429,-236,-236,Unknown,Emu Lake,SIR SAMUEL MINES NL,,,,151.65,,,60,46.89,1600,,,,,125.19,17.34,,,76,,579.15,1371.04,15.25,,,,,,,,,,,0.21,57.73,0.11,7.64,0.97,0.78,1.94,0.01,6.4,15.52,5.47,3.17
