sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
LITH03626751-KJS318-3,Basalt,Rock,-29.29,120.56,442,0,0,Unknown,Kurrajong,"Kurrajong, Walter Williams",1.63,0.82,2.75,61.22,0.4,2.24,,30.72,,0.59,3.26,503.5,1.58,217.14,,1.68,6.73,1180,4.69,,,71,0.24,1,,0.0051,,,0.00102,1.12,4.08,,0.05,52.81,0.18,8.93,0.67,1.28,0.06,0.17,10.41,11.32,1.57,12.44
LITH03626751-ELD003-165.6ii,Dacite,Rock,-30.28,121.95,429,-166,-166,Unknown,Emu Lake,,1.54,0.82,2.77,158.43,0.46,2.93,27,115.91,3100,0.51,28.8,,1.44,31.89,17.48,3.8,59.67,5,22.11,243.82,467.08,19.49,0.25,6.17,0.22,,,,,5.55,,,0.07,72.8,0.02,2.55,0.34,0.36,1.36,,2.95,14.23,4.46,0.79
LITH03626751-MKD25-1746.0,Rhyolite,Rock,-27.21,120.54,548,0,0,Unknown,Mount Keith MKD5 Deposit,MK Unit,,,,0,,,20,10,50.22701,,,,,0,0,,,10,,0,0,0,,,,,,,,,,,0,98.45,0.01,0.06,0.01,0.01,0.18,0.001461925,0.09,0.35,0.01,0.8
LITH03626751-AMP-HM-120522-006E,Basalt,Rock,-22.922684,117.367615,440,0,0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",1.2,0.56,1.81,39.48,0.27,1.77,95.88,11.65,79.23279,0.46,3.94,0,1.13,99.26,10.03,1.35,9.24,5163,5.41,7.89,39.14,138.43,0.16,1.2,0.19,,1.24,13.53,,0.76,1.91,0.33,0.07,45.78,0.16,2.01,0.4,0.87,0.06,0.75,11.47,5.01,0.06,33.76
LITH03626751-BSD061-295.70,Dacite,Rock,-30.39,121.63,376,-296,-296,Unknown,Black Swan,"Silver Swan, upper felsics",,,,141.28,,,30,10.62,,,,,,120.04,18.05,,,23,,353.75,216.71,4.25,,,,,,,,,,,0.37,63.7,0.08,3.22,0.65,0.46,0.35,,3.77,16.21,6.12,5.01
LITH03626751-BSD025-294.60,Dacite,Rock,-30.39,121.63,376,-295,-295,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",0.81,1.21,2.04,151.85,0.41,3.66,37,2.09,,0.3,26.7,,0.77,80.64,15.7,5.44,67.02,13,35.6,349.8,295.34,4.19,0.12,9,0.1,,,,,3.66,,,0.37,67.38,0.03,2.54,0.71,0.3,0.43,,2.46,16.07,7.13,2.53
LITH03626751-LWDD0754-330.3,Basalt,Rock,-28.16,120.91,536,-330,-330,Unknown,Wildara - The Horn,"Roadside Ultramafic, The Horn Prospect, LIONORE AUSTRALIA PTY LTD",0.59,0.19,0.97,8.09,0.14,0.71,,201.42,100,0.2,0.28,894.86,0.57,151.7,6.06,0.44,0.84,3476,0.95,21.23,35.39,,0.08,0.15,0.08,0.00012,0.2,,0.00032,,,,,51.38,0.22,17.41,0.24,0.82,0.14,0.5,6.64,4.97,0.69,16.92
LITH03626751-W144F,Dacite,Rock,-26.74,120.25,494,0,0,Unknown,Wiluna - Lake Way,,,,,121,,,103,6,100,,,,,101,16,,,137,,210,1086,17,,,,,,,,,,,,65.94,0.05,2.47,0.63,0.28,2.65,0.02,2.31,17.28,4.83,3.44
LITH03626751-r082-32.60-32.80,Andesite,Rock,0.067662105,22.542393,474,-33,-33,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,175.98,,,130.7,112.29,200,,,,,301.53,26.75,,,83,,133.78,45.28,42.23,,,,,,,,,,,0.25,52.42,0.23,8.13,2.21,1.48,0.21,0.01,11.99,12.96,4.66,5.4
LITH03626751-HWD32-144.50,Basalt,Rock,-26.89,120.38,503,0,0,Unknown,Honeymoon Well,East side barren flows,,,,,,,25,0,500,,,4257.39,,,,,,1370,,,,31,,,,,,,,,,,0,42.1,0.06,0.04,0.01,0,0.05,0.2,4.55,0.37,0.14,52.01
LITH03626751-BSD019-265.70,Dacite,Rock,-30.39,121.64,374,-266,-266,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",,,,93.9,,,63,14.43,400,,,,,9.28,10.31,,,,,102.16,3087.51,1.03,,,,,,,,,,,0.03,73.18,0.03,0.58,0.08,0.09,2.75,,0.79,17.22,4.6,0.59
LITH03626751-W144Bi,Basalt,Rock,-26.74,120.25,494,0,0,Unknown,Wiluna - Lake Way,,,,,109,,,38,,200,,,505.56,,124,16,,,206,,31,152,47,,,,,,,,,,,,48.14,0.14,19.07,0.42,0.54,0.28,0.03,4.43,14.22,0.19,12.47
LITH03626751-HWD26A-210.30,Basalt,Rock,-26.89,120.38,503,0,0,Unknown,Honeymoon Well,East side barren flows,,,,,,,36,0,600,,,4085.81,,,,,,1580,,,,138,,,,,,,,,,,0,42.6,0.07,0.04,0.02,0,0.06,0.23,5.85,0.3,0.07,50.34
LITH03626751-BSD019-366.20,Dacite,Rock,-30.39,121.63,376,-366,-366,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",1.11,2.72,3.21,178.92,0.67,6.32,47,6.41,7500,0.46,82.91,,0.91,56.73,18.54,10.69,158.19,2,69.82,433.12,1239.36,9.61,0.14,18.54,0.15,,,,,14.72,,,0.35,64.65,0.08,3.58,0.67,0.28,1.87,,2.31,17.82,6.84,1.45
LITH03626751-HWD03-105.70,Basalt,Rock,-26.89,120.38,503,0,0,Unknown,Honeymoon Well,East side barren flows,,,,,,,377,37,1100,,,2149.95,,,,,,2968,,,,111,,,,,,,,,,,0,50.7,0.19,2.73,0.13,0.69,0.46,0.43,7.5,6.27,0.08,30.66
LITH03626751-MKD66-131.4,Basalt,Rock,-27.21,120.54,548,0,0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,85.04,155.12,400,,,,,,,,,320,,,0,,,,,,,,,,,,0,49.05,0.17,10.97,0.62,1.18,1.13,0.04,9.58,16.76,1.67,8.79
LITH03626751-21616/1,Dacite,Rock,-27.24,120.53,556,0,0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,50.01,20,200,,,,,,,,,85,,,0,,,,,,,,,,,,0,69.54,0.03,1.29,0.26,0.28,0.09,0.01,2.27,15.77,9.06,1.36
LITH03626751-BSD061-193.20,Dacite,Rock,-30.39,121.63,376,-193,-193,Unknown,Black Swan,"Silver Swan, upper felsics",,,,137.18,,,16,83.27,2300,,,,,60.73,12.56,,,22,,174.88,97.39,20.81,,,,,,,,,,,0.2,68.09,0.02,2.28,0.6,0.33,0.38,,2.69,15.87,7.63,1.85
LITH03626751-BSD062-304.87,Dolerite,Rock,-30.38,121.64,376,-305,-305,Unknown,Black Swan,"North of SS, lower felsics",,,,143.07,,,15,3.3,,,,,,45.12,15.4,,,10,,438.01,299.34,9.9,,,,,,,,,,,0.16,69.98,0.08,5.6,0.59,0.37,1.13,,3.06,14.92,2.14,1.92
LITH03626751-BSD015-240.5B,Dacite,Rock,-30.39,121.64,374,-240,-240,Unknown,Black Swan,"Silver Swan, lower felsics",,,,83.61,,,6,,100,,,,,,,,,,,578.6,21,7,,,,,,,,,,,,67.2,0.03,6.79,0.41,0.3,0.9,,2.41,17.47,2.66,1.83
